Sl_No,Age,Education_Level,Years_of_Experience,Salary
1,32,Bachelor's,5,90000
2,28,Master's,3,65000
3,45,PhD,15,150000
4,36,Bachelor's,7,60000
5,52,Master's,20,200000
6,29,Bachelor's,2,55000
7,42,Master's,12,120000
8,31,Bachelor's,4,80000
9,26,Bachelor's,1,45000
10,38,PhD,10,110000
11,29,Master's,3,75000
12,48,Bachelor's,18,140000
13,35,Bachelor's,6,65000
14,40,Master's,14,130000
15,27,Bachelor's,2,40000
16,44,Bachelor's,16,125000
17,33,Master's,7,90000
18,39,PhD,12,115000
19,25,Bachelor's,0,35000
20,51,Bachelor's,22,180000
21,34,Master's,5,80000
22,47,Master's,19,190000
23,30,Bachelor's,2,50000
24,36,Bachelor's,9,60000
25,41,Master's,13,140000
26,28,Bachelor's,3,45000
27,37,Master's,11,110000
28,24,Bachelor's,1,40000
29,43,PhD,15,140000
30,33,Master's,6,90000
31,50,Bachelor's,25,250000
32,31,Bachelor's,4,55000
33,29,Master's,3,75000
34,39,Bachelor's,10,65000
35,46,PhD,20,170000
36,27,Bachelor's,2,45000
37,35,Bachelor's,7,60000
38,42,Master's,14,115000
39,26,Bachelor's,1,40000
40,49,Bachelor's,21,160000
41,34,Master's,5,80000
42,48,Master's,18,190000
43,30,Bachelor's,3,60000
44,36,Bachelor's,8,45000
45,41,Master's,13,130000
46,28,Bachelor's,2,40000
47,32,Bachelor's,5,75000
48,45,Master's,16,180000
49,38,PhD,11,120000
50,25,Bachelor's,0,35000
51,51,Bachelor's,22,130000
52,33,Master's,7,85000
53,40,Bachelor's,12,60000
54,47,Master's,19,200000
55,29,Bachelor's,3,50000
56,36,Bachelor's,9,95000
57,27,Master's,2,65000
58,43,PhD,17,140000
59,30,Bachelor's,4,55000
60,35,Master's,7,105000
61,51,Master's,23,170000
62,29,Bachelor's,3,50000
63,40,Bachelor's,12,80000
64,47,PhD,21,180000
65,26,Bachelor's,1,35000
66,38,Master's,10,90000
67,46,Bachelor's,19,120000
68,31,Bachelor's,5,45000
69,34,Master's,8,90000
70,49,Master's,18,150000
71,33,Bachelor's,6,65000
72,39,Bachelor's,11,70000
73,45,PhD,16,190000
74,28,Bachelor's,2,40000
75,42,Master's,14,120000
76,37,Bachelor's,10,95000
77,50,Bachelor's,22,160000
78,32,Master's,6,100000
79,48,Master's,20,180000
80,30,Bachelor's,3,55000
81,36,Bachelor's,8,70000
82,41,Master's,13,80000
83,25,Bachelor's,0,30000
84,52,PhD,24,250000
85,29,Bachelor's,2,40000
86,34,Master's,10,95000
87,27,Bachelor's,2,45000
88,40,Bachelor's,15,80000
89,46,Master's,21,135000
90,31,Bachelor's,6,55000
91,36,PhD,11,120000
92,29,Bachelor's,3,40000
93,43,Bachelor's,18,105000
94,52,Master's,25,170000
95,33,Bachelor's,7,75000
96,39,Bachelor's,12,65000
97,47,PhD,22,160000
98,26,Bachelor's,1,35000
99,38,Master's,10,90000
100,45,Bachelor's,20,110000
101,31,Bachelor's,5,45000
102,35,Master's,8,95000
103,49,Master's,19,150000
104,33,Bachelor's,5,50000
105,39,Master's,13,80000
106,44,PhD,16,220000
107,30,Bachelor's,3,50000
108,36,Bachelor's,7,60000
109,41,Master's,14,100000
110,28,Bachelor's,2,40000
111,42,Master's,15,110000
112,37,Bachelor's,9,95000
113,50,Bachelor's,22,130000
114,32,Master's,6,90000
115,23,Bachelor's,0.5,35000
116,31,Master's,6,95000
117,40,Bachelor's,15,65000
118,48,PhD,20,170000
119,29,Bachelor's,3,45000
120,35,Master's,10,120000
121,42,Bachelor's,17,100000
122,53,Master's,25,180000
123,33,Bachelor's,5,50000
124,38,Bachelor's,11,80000
125,44,PhD,16,140000
126,26,Bachelor's,2,40000
127,37,Master's,9,95000
128,45,Bachelor's,18,110000
129,32,Bachelor's,4,50000
130,34,Master's,8,105000
131,50,Master's,21,160000
132,29,Bachelor's,3,45000
133,40,Master's,12,100000
134,47,PhD,22,160000
135,27,Bachelor's,1,35000
136,39,Bachelor's,10,55000
137,46,Master's,19,140000
138,30,Bachelor's,4,50000
139,36,Bachelor's,7,60000
140,43,Master's,14,120000
141,28,Bachelor's,2,40000
142,41,Master's,13,110000
143,33,Bachelor's,5,50000
144,47,Bachelor's,20,135000
145,25,Master's,1.5,40000
146,34,Bachelor's,8,90000
147,42,PhD,16,150000
148,31,Bachelor's,4,60000
149,38,Bachelor's,10,80000
150,45,Master's,19,175000
151,29,Bachelor's,3,45000
152,36,Master's,11,120000
153,43,PhD,18,140000
154,26,Bachelor's,2,35000
155,37,Master's,9,95000
156,44,Bachelor's,14,110000
157,32,Bachelor's,5,50000
158,33,Master's,7,115000
159,51,PhD,23,185000
160,28,Bachelor's,2,40000
161,39,Bachelor's,12,90000
162,48,Master's,21,175000
163,30,Bachelor's,3,45000
164,35,Bachelor's,7,80000
165,41,Master's,13,120000
166,27,Bachelor's,1.5,35000
167,40,Bachelor's,14,110000
168,46,PhD,18,150000
169,31,Bachelor's,4,50000
170,34,Master's,9,105000
171,50,Master's,20,180000
172,29,Bachelor's,2,40000
173,43,Bachelor's,16,140000
174,26,Master's,1.5,45000
175,35,Bachelor's,7,85000
176,42,PhD,18,140000
177,31,Bachelor's,4,50000
178,38,Bachelor's,10,80000
179,46,Master's,20,170000
180,29,Bachelor's,2,40000
181,37,Master's,9,105000
182,44,PhD,15,145000
183,27,Bachelor's,2,40000
184,36,Bachelor's,8,85000
185,43,Bachelor's,14,130000
186,33,Master's,6,95000
187,34,Bachelor's,9,100000
188,50,PhD,22,180000
189,28,Bachelor's,1.5,35000
190,39,Bachelor's,12,95000
191,47,Master's,19,170000
192,30,Bachelor's,3,45000
193,34,Bachelor's,7,95000
194,40,Master's,13,120000
195,28,Bachelor's,2,40000
196,41,Bachelor's,11,90000
197,45,PhD,17,155000
198,32,Bachelor's,5,55000
199,35,Master's,9,110000
200,49,Master's,21,180000
201,30,Bachelor's,3,45000
202,44,Bachelor's,16,130000
203,27,Master's,1.5,45000
204,36,Bachelor's,7,90000
205,41,PhD,17,160000
206,31,Bachelor's,4,50000
207,39,Bachelor's,10,120000
208,47,Master's,20,170000
209,30,Bachelor's,2,40000
210,38,Master's,9,110000
211,45,PhD,15,150000
212,28,Bachelor's,2,40000
213,35,Bachelor's,8,85000
214,44,Bachelor's,14,130000
215,34,Master's,6,100000
216,35,Bachelor's,9,95000
217,50,PhD,22,180000
218,29,Bachelor's,1.5,35000
219,40,Bachelor's,12,100000
220,48,Master's,19,170000
221,31,Bachelor's,3,45000
222,33,Bachelor's,7,100000
223,42,Master's,13,140000
224,28,Bachelor's,2,40000
225,40,Bachelor's,11,105000
226,46,PhD,18,160000
227,33,Bachelor's,5,70000
228,37,Master's,9,120000
229,51,Master's,21,190000
230,30,Bachelor's,3,45000
231,43,Bachelor's,15,120000
232,27,Master's,1.5,50000
233,35,Bachelor's,8,85000
234,42,PhD,13,140000
235,32,Bachelor's,3,45000
236,37,Bachelor's,9,100000
237,45,Master's,16,140000
238,33,Bachelor's,5,70000
239,39,Bachelor's,10,120000
240,44,PhD,18,160000
241,29,Bachelor's,1.5,40000
242,38,Bachelor's,10,120000
243,46,PhD,19,150000
244,34,Bachelor's,6,70000
245,36,Bachelor's,8,95000
246,49,Master's,21,180000
247,31,Bachelor's,3,50000
248,41,Bachelor's,11,95000
249,47,Master's,20,170000
250,30,Bachelor's,2,40000
251,38,Master's,9,110000
252,45,PhD,15,150000
253,28,Bachelor's,2,40000
254,35,Bachelor's,8,85000
255,44,Bachelor's,14,130000
256,34,Master's,6,100000
257,35,Bachelor's,9,95000
258,50,PhD,22,180000
259,29,Bachelor's,1.5,350
260,37,Bachelor's,10,120000
261,46,PhD,18,160000
262,31,Bachelor's,3,50000
263,42,Bachelor's,12,110000
264,29,Bachelor's,1.5,40000
265,36,Bachelor's,8,95000
266,44,Master's,15,140000
267,33,Bachelor's,4,60000
268,39,Bachelor's,9,110000
269,45,PhD,16,150000
270,32,Bachelor's,4,60000
271,37,Bachelor's,8,90000
272,47,Master's,20,180000
273,30,Bachelor's,2,40000
274,38,Bachelor's,9,120000
275,46,PhD,17,160000
276,34,Bachelor's,5,70000
277,36,Bachelor's,8,95000
278,49,Master's,21,180000
279,31,Bachelor's,3,50000
280,41,Bachelor's,11,95000
281,47,Master's,19,170000
282,29,Bachelor's,1.5,35000
283,35,Bachelor's,9,100000
284,44,PhD,15,150000
285,33,Bachelor's,4,60000
286,35,Bachelor's,8,85000
287,44,Bachelor's,13,130000
288,32,Bachelor's,4,65000
289,38,Bachelor's,10,110000
290,49,PhD,21,180000
291,29,Bachelor's,2,40000
292,35,Bachelor's,7,90000
293,45,Master's,14,140000
294,33,Bachelor's,4,60000
295,40,Bachelor's,12,130000
296,44,PhD,16,160000
297,30,Bachelor's,2,40000
298,37,Bachelor's,9,100000
299,48,Master's,20,180000
300,31,Bachelor's,3,55000
301,38,Bachelor's,9,120000
302,45,PhD,16,150000
303,33,Bachelor's,5,70000
304,36,Bachelor's,8,95000
305,49,Master's,21,180000
306,31,Bachelor's,3,50000
307,42,Bachelor's,12,120000
308,47,Master's,19,170000
309,29,Bachelor's,1.5,35000
310,35,Bachelor's,9,100000
311,44,PhD,15,150000
312,33,Bachelor's,4,60000
313,35,Bachelor's,8,85000
314,44,Bachelor's,13,130000
315,34,Master's,6,80000
316,36,Bachelor's,8,95000
317,30,Bachelor's,2,40000
318,37,Bachelor's,10,120000
319,45,Master's,16,160000
320,32,Bachelor's,4,65000
321,39,Bachelor's,12,130000
322,47,PhD,20,180000
323,29,Bachelor's,2,40000
324,36,Bachelor's,9,100000
325,43,PhD,15,150000
326,32,Bachelor's,3,55000
327,38,Bachelor's,10,110000
328,48,Master's,21,180000
329,31,Bachelor's,3,50000
330,40,Bachelor's,12,130000
331,45,PhD,16,160000
332,33,Bachelor's,4,60000
333,36,Bachelor's,8,95000
334,47,Master's,19,170000
335,29,Bachelor's,2,40000
336,34,Bachelor's,7,90000
337,44,PhD,15,150000
338,33,Bachelor's,5,70000
339,35,Bachelor's,8,90000
340,43,Master's,18,170000
341,31,Bachelor's,3,50000
342,41,Bachelor's,14,150000
343,44,PhD,16,160000
344,33,Bachelor's,4,60000
345,35,Bachelor's,8,85000
346,45,Master's,19,180000
347,28,Bachelor's,1,35000
348,36,Bachelor's,8,110000
349,44,PhD,16,160000
350,31,Bachelor's,3,55000
351,38,Bachelor's,10,110000
352,48,Master's,21,180000
353,31,Bachelor's,3,50000
354,40,Bachelor's,12,130000
355,45,PhD,16,160000
356,33,Bachelor's,4,60000
357,36,Bachelor's,8,95000
358,47,Master's,19,170000
359,29,Bachelor's,2,40000
360,34,Bachelor's,7,90000
361,44,PhD,15,150000
362,33,Bachelor's,5,70000
363,35,Bachelor's,8,90000
364,43,Master's,18,170000
365,31,Bachelor's,3,50000
366,41,Bachelor's,14,150000
367,44,PhD,16,160000
368,33,Bachelor's,4,60000
369,35,Bachelor's,8,85000
370,43,Master's,19,170000
371,29,Bachelor's,2,40000
372,34,Bachelor's,7,90000
373,44,PhD,15,150000
